(496.5820813179016, 0.4477)
(996.63489818573, 0.4882)
(1497.8446125984192, 0.5163)
(1996.1919903755188, 0.5225)
(2487.408425807953, 0.5369)
(2985.7757472991943, 0.5426)
(3584.454827308655, 0.544)
(4095.209412574768, 0.5478)
(4583.0445098876953, 0.5506)
(5067.7184438705444, 0.5405)
(5557.728116512299, 0.546)
(6054.759013652802, 0.5483)
(6552.847082614899, 0.549)
(7043.00665140152, 0.5479)
(7523.551337718964, 0.5482)
(8004.036481380463, 0.5421)
(8484.481718540192, 0.5525)
(8970.701532363892, 0.5346)
(9457.400047779083, 0.5441)
(9937.09730386734, 0.5456)
(10420.514624118805, 0.5374)
(10907.55222082138, 0.5352)
(11391.32854938507, 0.5334)
(11877.85753250122, 0.5314)
(12371.956269741058, 0.5399)
(12855.612921714783, 0.535)
(13339.319779872894, 0.536)
(13826.559474468231, 0.5378)
(14319.191799163818, 0.53)
(14802.240059375763, 0.5261)
(15283.45327615738, 0.5377)
(15772.181494235992, 0.5381)
(16263.198475837708, 0.5286)
(16747.254066467285, 0.5245)
(17235.72473526001, 0.5221)
(17719.989767074585, 0.525)
(18212.422978878021, 0.5142)
(18697.465915679932, 0.5226)
(19189.800832271576, 0.5238)
(19682.044546604156, 0.5197)
